-5.4053,-4.5576,0.34255
2.7899,3.2679,1.4418
-2.9995,-1.2814,-4.1865
-11.827,-14.747,-11.905
2.142,3.7982,0.80829
-3.1439,-6.369,-5.0484
-5.7404,-1.5809,-10.532
-4.2733,-1.6496,-2.5666
-14.868,-7.8947,-13.564
-1.6978,-7.366,2.5986
-2.568,-3.3799,-9.9873
4.2952,0.046056,-5.6589
-3.9726,1.2428,-2.1144
-3.2746,2.281,-1.0117
6.5063,4.6598,2.2801
-10.864,-8.5588,-13.144
6.4879,7.7807,6.12
-0.29757,-7.0214,-3.4974
-5.0236,-8.6382,-12.079
-4.399,-3.0391,-11.251
-7.136,-1.765,-5.7218
9.3961,1.4881,8.7683
0.32584,-1.0899,1.9423
10.844,4.0847,8.2356
-7.963,-2.8446,-12.937
6.9591,10.001,10.406
-3.2565,-0.95281,-3.1552
18.851,18.547,18.216
-1.1617,1.1374,2.0696
3.0159,2.2428,2.4454
-13.413,-1.1769,-1.705
-5.4344,4.3227,-1.9653
12.013,6.5824,8.138
3.6057,-2.4039,1.4226
-2.9151,-0.60043,-1.1258
1.4471,-2.1321,-3.4031
3.6726,8.0908,4.1264
-20.097,-4.2994,-15.958
-10.356,-14.236,-13.574
-15.167,-11.119,-8.9027
-10.099,-8.2661,-10.152
2.8405,2.6241,3.1245
-1.2963,0.087657,-3.3422
-10.67,-11.858,-7.3721
5.8348,3.4908,6.3313
9.9237,6.1786,6.8366
-5.8221,-0.79073,0.57755
4.4282,-3.6205,-3.54
-3.1816,6.597,0.97549
5.3911,-0.79745,2.5934
10.018,13.389,12.826
-5.1034,-4.7489,-2.8082
-3.6473,-4.8325,-5.005
1.3905,1.6779,-5.9442
1.333,1.5057,0.27212
8.7513,-0.37126,3.2668
-4.6026,-11.079,-8.7028
0.45779,-0.70644,-0.28786
-0.26012,7.995,8.0187
2.4445,-3.7696,-5.7704
1.6869,5.389,3.0021
-3.6619,-3.5447,-1.3942
5.017,-5.2462,-3.1293
-12.283,-11.971,-8.5071
0.081394,2.5831,-5.5209
-9.9523,-10.697,-10.568
2.4923,10.909,11.209
9.0247,11.744,1.1761
-2.4621,-6.4324,-0.097759
7.8746,7.6829,6.7938
-2.2416,1.5353,-0.47472
20.633,24.839,23.993
2.1605,2.8976,5.7665
7.4659,14.265,8.8304
0.062671,0.062034,-0.29117
19.097,18.346,17.893
-9.9855,-10.164,-11.254
-13.111,-12.051,-13.163
-2.8303,-3.8702,-3.1088
6.9032,1.347,6.2409
-11.655,-11.555,-8.0607
-4.7827,-4.5277,-10.9
-2.497,-2.2537,-3.3812
-1.4375,-2.9917,-2.5037
-4.5627,-4.0768,-2.3767
-13.105,-11.332,-12.323
2.1181,-4.5706,3.0041
-2.4076,-10.949,-0.20226
11.737,16.45,11.982
0.93134,-4.9344,-5.7755
-4.5703,2.9268,-6.6777
4.5743,3.6903,0.69353
-1.6757,2.0455,-1.3285
3.9176,3.155,6.0405
-0.61159,0.38823,-0.89958
1.2841,-1.3901,-0.86701
-0.29839,-1.1071,3.0219
-0.83879,-8.3971,-7.8497
1.4956,7.4938,-1.3646
10.293,11.406,8.8045
-1.4499,2.3172,-0.59111
3.3307,0.36483,1.3341
-10.698,-12.746,-8.1223
-0.61513,0.63131,-3.9712
1.2703,-2.2827,2.9348
0.010235,-9.6854,-3.1516
-11.721,-12.515,-11.098
2.0403,0.56795,-0.14069
-2.8833,5.1891,0.38583
-8.1468,-4.1991,-4.8419
0.66719,-2.9149,-1.3023
26.538,27.077,25.87
-4.2587,-4.6308,-3.4312
11.178,10.755,13.922
-9.5666,-6.2585,-5.007
7.5505,7.9807,7.1922
12.016,12.984,7.8109
-6.1635,-5.7277,-1.2684
3.4508,1.4244,2.2596
3.0639,9.3946,5.8368
2.6866,5.8813,4.4598
-2.5478,-11.279,-0.93762
-5.3468,-0.71024,-4.7102
-6.7618,-7.0427,-5.6999
3.0067,1.4363,6.5821
-6.7802,-5.1714,-5.9588
-37.843,-32.862,-36.896
2.1144,0.72531,-0.86531
4.1232,3.8267,4.4682
3.3878,4.2298,-0.44881
14.073,12.352,-0.34514
-13.817,-6.7361,-10.999
1.3665,0.25883,0.72674
1.5339,0.10734,-3.4797
9.3809,10.231,10.642
-0.52576,-1.3545,-5.3752
9.3054,7.6057,11.623
2.5736,1.2418,5.8279
-5.571,-2.296,-3.3425
-7.4164,-10.887,-9.2918
0.53912,-0.40217,-5.0424
0.23324,3.0329,7.9484
5.5927,5.754,1.1745
7.1153,6.1985,3.7254
-2.1287,10.482,-11.448
0.16673,-1.6551,-0.019106
1.5225,-1.7911,0.47005
2.0405,2.0908,3.7816
-3.5045,-8.0707,-6.0236
9.1519,9.8169,7.2969
-4.543,-2.2774,-0.98598
-4.2198,-6.1747,-3.3716
0.24013,-2.2514,1.3442
